,Event times,Fitted stations,Moveout intercept,Moveout slope (s/km),Event?,
282,2011-06-29T19:04:19.110000Z,5,55.47233432,-0.423481677,,
283,2011-06-29T20:38:08.388400Z,5,-10.63974491,1.228048111,,
284,2011-06-29T23:06:41.509900Z,6,-0.902783444,0.307798201,,
285,2011-06-30T00:35:58.099900Z,4,6.650050522,-0.859307674,,
286,2011-06-30T00:52:59.799900Z,6,4.85104206,-0.380621563,,
287,2011-06-30T00:56:58.709900Z,7,-2.065961616,0.375044441,,
288,2011-06-30T02:11:13.159900Z,7,-0.599503951,0.383281675,,
289,2011-06-30T03:35:59.109900Z,4,9.91699036,-0.925550998,,
290,2011-06-30T03:41:15.829900Z,5,-0.563289825,0.207129894,,
291,2011-06-30T03:53:36.649900Z,6,-5.551386018,0.495707199,,
292,2011-06-30T04:07:09.870000Z,6,-4.705165808,0.37902834,,
293,2011-06-30T04:26:23.670000Z,5,-1.016394159,0.224777569,,
294,2011-06-30T05:19:48.730000Z,6,-0.547603921,0.162534703,,
295,2011-06-30T07:03:08.010000Z,5,0.759632237,0.112212569,,
296,2011-06-30T07:10:10.980000Z,4,4.402889491,-0.994590119,,
297,2011-06-30T07:54:10.440000Z,6,-4.290145266,0.39737371,,
298,2011-06-30T09:00:05.900000Z,5,0.287732508,-0.011954561,,
299,2011-06-30T09:22:48.570000Z,5,-1.834871785,0.311443115,,
300,2011-06-30T10:23:53.820000Z,4,-0.537202254,0.166800788,,
301,2011-06-30T10:40:14.530000Z,7,-4.515488621,0.573032887,,
302,2011-06-30T11:23:04.910000Z,5,-6.629386427,0.776318798,,
303,2011-06-30T11:33:16.310000Z,7,-2.186783231,0.329383681,,
304,2011-06-30T11:38:31.330000Z,4,-0.08246902,0.045843198,,
305,2011-06-30T12:16:52.760000Z,4,-0.636124644,-0.041004237,,
306,2011-06-30T12:41:07.810000Z,6,4.386498525,-0.344465981,,
307,2011-06-30T12:43:55.690000Z,3,7.096558405,-0.954587182,,
308,2011-06-30T13:13:34.660000Z,3,-0.111167048,-0.194973837,,
309,2011-06-30T14:55:03.970000Z,5,-1.690305978,0.300646888,,
310,2011-06-30T14:58:26.040000Z,5,-2.83604385,0.308084281,,
311,2011-06-30T15:29:34.680000Z,5,3.356952937,-0.252476104,,
312,2011-06-30T16:14:49.460000Z,5,-2.25404088,0.313843236,,
313,2011-06-30T16:32:29.960000Z,4,6.013802853,-0.607569156,,
314,2011-06-30T16:53:38.880000Z,5,-3.467409291,0.39266146,,
315,2011-06-30T18:27:12.080000Z,5,-3.163236945,1.220182266,,
316,2011-06-30T19:09:15.730000Z,6,6.263542778,-0.70974217,,
317,2011-06-30T19:16:49.700000Z,3,-59.10291541,0.122702917,,
318,2011-06-30T19:24:41.800000Z,5,4.856637223,-0.561633517,,
319,2011-06-30T19:50:57.280000Z,3,-38.63548459,0.169571719,,
320,2011-06-30T20:23:46.190000Z,6,-0.610315051,-0.257952424,,
321,2011-06-30T20:39:48.000000Z,3,-13.37375358,1.284290444,,
322,2011-06-30T21:26:07.360000Z,6,-1.981212184,0.217372017,,
323,2011-06-30T21:44:14.388400Z,5,6.027253948,-0.66591468,,
324,2011-06-30T22:37:36.019900Z,4,-1.297981852,0.316966597,,
325,2011-06-30T22:46:03.809900Z,4,1.319345023,-0.05345309,,
326,2011-06-30T23:52:49.229900Z,4,1.421166072,-0.31845963,,
327,2011-06-30T23:58:14.799900Z,4,-1.567265996,0.225920129,,
328,2011-07-01T00:01:19.309900Z,7,-4.634113001,0.661066189,,
329,2011-07-01T00:19:52.379900Z,7,-1.439056308,0.649924981,Y,
330,2011-07-01T00:22:48.279900Z,5,2.990091305,-0.043842686,,
331,2011-07-01T00:25:02.339900Z,4,-2.397047879,0.31076251,,
332,2011-07-01T00:41:44.499900Z,6,-6.227848215,0.862713835,,
333,2011-07-01T01:12:46.929900Z,3,-148.916044,3.806670101,,
334,2011-07-01T02:08:39.029900Z,6,-1.430430368,0.325439405,,
335,2011-07-01T02:15:22.269900Z,4,-1.837571022,0.607905835,,
336,2011-07-01T02:33:42.519900Z,4,-1.511946889,0.236228589,,
337,2011-07-01T02:36:07.839900Z,6,3.121241841,-0.05153603,,
338,2011-07-01T03:07:40.769900Z,4,-0.806478486,0.242977944,,
339,2011-07-01T03:31:45.468400Z,6,-0.111262821,0.382483974,Y,
